id,listingIsTopRated,sellerFeedbackScore,sellerPositivePercent,sellerIsTopRated,price,endAtWeekend,endAtEvening,length,isBroken,isUsed,isLarge,freeShipping,isSold
354375369307,0,2892,100.0,0,159.6,1,0,7,0,1,0,0,1
325413089006,0,115,83.3,0,8.3916,1,1,7,0,1,0,0,1
165761316600,0,37,100.0,0,102.9,1,1,7,0,1,0,0,1
334613412591,1,11654,99.9,1,63.84,0,1,5,1,0,0,0,1
185639244063,0,0,0.0,0,126.0,0,0,7,0,0,0,0,1
204133784951,0,57786,100.0,1,8.3916,0,1,7,0,1,0,0,1
385212690951,0,1,100.0,0,16.7916,1,0,7,1,0,0,0,1
334615836012,1,11663,99.9,1,84.0,1,1,7,1,0,0,0,1
225235489274,0,8335,100.0,1,83.99159999999998,1,1,7,0,1,0,0,1
185646642104,0,3678,100.0,1,256.2,1,1,7,0,0,0,0,1
234767220117,0,397,100.0,0,27.72,1,0,7,0,1,0,0,1
204132871513,0,57786,100.0,1,30.6684,0,1,7,0,1,0,0,1
134309617945,0,67,97.6,0,2.5116,0,0,7,1,0,0,0,1
374336220531,0,10138,99.7,1,170.1,0,0,5,0,0,0,0,1
295317541978,0,1341,99.3,1,24.191999999999997,1,0,7,0,1,0,0,1
285027160154,0,3515,100.0,1,8.3916,0,1,5,1,0,0,0,1
234767908239,1,11670,99.9,1,27.9888,1,1,7,1,0,0,0,1
134309612364,0,67,97.6,0,2.9316,0,0,7,1,0,0,0,1
234760157889,0,2,0.0,0,56.112,0,0,7,0,1,0,0,1
134311895768,0,2,100.0,0,58.8,0,0,7,0,1,0,0,1
255804120297,0,637,100.0,1,67.1916,0,0,7,0,1,0,0,1
234762148125,1,11654,99.9,1,36.96,0,1,5,1,0,0,0,1
204133792787,0,57829,100.0,1,43.3104,1,1,7,0,1,1,0,1
334613415791,1,11654,99.9,1,16.7916,0,1,5,1,0,0,0,1
225235563337,0,825,98.5,1,101.22,1,0,10,0,1,0,0,1
334612130169,1,11653,99.9,1,36.12,0,1,7,1,0,0,0,1
225237054526,0,8335,100.0,1,251.9916,1,1,7,0,1,0,0,1
155240625579,0,3417,99.7,1,7.979999999999999,1,1,7,1,0,0,0,1
354371549705,0,19745,100.0,0,14.4984,0,1,7,0,1,0,0,1
